,kUn,kLn,kU,kL,nPH85,RF,KF,Trip,TripL,Node,Align,Sim,MAST,pathdist,pathdistw,BHV,KC,KCw,Group
1-2,0.6471880786,0.1608587866,0.7787937926,0.1987731487,0.9230769,22,0.1264103,0.4725275,0.09779864,1.160507,5.15,0.9581121,8,26.57066,0.8552127,0.134955,15.65248,0.4895141,hi
3-4,0.9431777914,0.4925509251,0.9762936975,0.4927957344,0.6,48,0.60616,0.3284843,0.3817925,1.379376,14.68769,0.3232527,21,86.60254,14.15252,0.686004,68.84766,11.594,hi
5-6,0.7625855397,0.6127333785,0.9744476091,0.9819367041,0.25,6,0.4755942,0.07142857,0.4200102,1.162948,3.97619,0.268549,2,10.77033,4.032895,0.506818,7.681146,0.8454861,hi
7-8,0.8804454214,0.4372676193,0.953468646,0.5490086205,0.6666667,26,2.262053,0.4201016,0.9825029,1.49456,10.76616,0.4086842,13,38.18377,12.01242,3.3679,36.89173,10.95195,hi
9-10,0.6570562144,0,0.9320348384,0,0.8,6,0.6074471,0.5714286,0.4044824,0.7357764,1.866667,0.5322767,3,5.09902,2.427157,0.642226,4.242641,0.9700168,hi
11-12,0.7991195555,0.6456264823,0.9180173875,0.6643750324,0.25,6,0.1096548,0.1401099,0.1139442,0.9883849,4.4,0.2402841,4,9.643651,0.7899892,0.177309,8.306624,0.5047416,hi
15-16,0.8800995803,0.1951179734,0.94792163,0.2276072988,0.8205128,64,10.36111,0.3211069,1.329738,1.45003,16.62553,0.7672006,28,94.37161,70.71473,10.732981,61.17189,51.80088,lo
17-18,0.8624945925,0.1633070225,0.981957125,0.1997154649,0.7457627,86,0.2909316,0.5764101,0.1622611,2.23798,30.23792,0.5745381,46,186,5.741791,0.368294,261.2719,2.143676,lo
19-20,0.7915106127,0.4434466726,0.9366984784,0.4873680569,0.625,20,0.7749237,0.2965686,0.4352229,1.481033,7.699603,0.2292915,9,24.8998,7.267279,0.811012,15.13275,1.37188,hi
21-22,0.425137586,0.0006703271,0.4891143275,0.213486252,0.9285714,24,0.2795594,0.3482143,0.1885757,1.493753,7.519697,0.6285195,7,34.27827,1.757243,0.295456,18.78829,0.8777654,hi
23-24,0.7515785495,0.0188286696,0.845604552,0.1166409231,0.9677419,118,1.306284,0.4803427,0.389099,2.512514,32.28073,0.9059312,49,299.2641,25.73077,1.319535,130.4569,9.192695,lo
25-26,0.7376041015,0.3624167099,0.9441148466,0.3643137321,0.7777778,26,0.7338359,0.4833333,0.5061005,1.576031,9.157323,0.6643061,9,55.19964,9.063746,0.78848,43.65776,4.083746,lo
27-28,0.6467271967,0.6931980089,0.9948650847,0.9948000208,0,0,0.2793757,0,0.2773689,0.681939,1.266667,0.4248569,0,0,1.262761,0.344179,0,0.3355859,hi
29-30,0.7285831045,0.357108843,0.7894641628,0.2861913394,0.6363636,14,3.214522,0.5594406,1.91378,1.283902,4.230159,0.4257228,8,17.37815,25.25567,3.433011,17.83255,5.831639,lo
31-32,0.7210177517,0.6023376882,0.9924062879,0.9942179058,0,0,0.2632458,0,0.211782,0.6966004,1,0.1171723,0,0,0.8600395,0.323619,0,0.2559196,lo
33-34,0.7802647147,0.7153313574,0.9651008631,0.9920342025,0.1428571,2,0.1729062,0.2380952,0.1808573,0.8679889,2.433333,0.1969044,1,4.242641,0.9953952,0.200497,4.582576,0.2037772,hi
35-36,0.7822041502,0.6666963462,0.868812232,0.8736236316,0.4545455,8,1.086661,0.3111888,0.7676087,1.568492,6.579221,0.2204198,5,11.48913,9.749022,1.160263,9.643651,2.339193,hi
37-38,0.7537925655,0.5149689183,0.83777777,0.8410335849,0.1428571,4,0.2645878,0.3517857,0.2478878,1.100082,4.717857,0.3007911,5,10.72381,1.516712,0.451894,19.51922,0.3961292,hi
