L,M,P,kUn,kLn,kU,kL,RF,KF,Trip,TripL,Align,Sim,Node,nPH85,MAST,pathdist,pathdistw,BHV,KC,KCw
1.01275015104E-07,6.77560950991E-07,0.4793635255,0.4771677716,0.1871797496,0.2349231307,0.4444395669,20.96,28511941.62303,0.5553088235,6847303.45296725,6.1480953768,0.8885568365,1.2403387724,0.7633333333,8.54,27.9324779332,265310081.994065,22612826.4623832,23.2146922096,130985023.375273
0.000000105,0.000002915,0.835564456,0.7582434047,0.617389413,0.5859954217,0.8148787755,10.5,22144011.0170961,0.3579264706,3432778.15751122,5.5032063215,0.8523250684,1.1295233138,0.4073333333,5.04,17.7050557783,171719286.463925,16506629.7150999,17.4266946925,104859229.403186
1.06691816985E-07,2.29218577994E-07,0.4510968221,0.4563812962,0.1737075536,0.2168959813,0.433829481,21.18,27265027.4135968,0.5612794118,6788019.93265741,6.1187604618,0.8874926659,1.253240883,0.77,8.82,28.8644982472,252015368.319079,21632424.1766665,23.0243255368,126084573.610573
1.11508891887E-07,0.0493627847,0.0568621729,0.6568077745,0.0221877548,0.0109010005,0.0068053175,27.38,27054375.9539321,0.6690588235,8130906.00252045,6.0976728549,0.8455274671,1.225703753,0.9793333333,10.71,34.4768222903,261659354.337107,21747090.4853752,25.4032382411,120858851.173147
1.15556119607E-07,0.0044050462,0.6368428292,0.4835658058,0.1692570758,0.1943502742,0.2738957565,23.92,21749460.4412838,0.5988970588,5946148.27934705,6.3221412754,0.884055062,1.2635793558,0.8626666667,9.51,31.2678592704,210613282.722992,17465725.7632967,23.8902978176,99208681.9958053
1.19234602929E-07,0.0002371311,0.9574863654,0.8848286469,0.8306473595,0.7932773857,0.9266939306,4.78,12947049.1793844,0.1986323529,1960479.27132366,3.7847543568,0.5921726046,0.7820671451,0.1973333333,2.71,9.4727159331,101602192.152478,9525011.50318403,10.4261448447,59928657.7350669
1.20050727722E-07,0.0027513474,0.3935756906,0.4960869223,0.105302205,0.1205596958,0.2202244136,24.88,22011128.5740556,0.6255147059,6140701.63218397,6.4359844877,0.8615189537,1.267328494,0.8953333333,10,32.6803977066,208647419.791643,17464550.4903653,24.2882837895,101676152.201604
1.26790973347E-07,0.0014411106,0.043349225,0.6512508353,0.0393189765,0.0149959155,0.0399674979,27.14,22503464.7176977,0.6568088235,6459603.78309443,5.9798159896,0.8536601956,1.199369227,0.9713333333,10.59,34.283328546,214776503.434856,18186256.0075033,25.1899532481,102010490.665298
1.29094843464E-07,0.0063123966,0.3144921502,0.5402103726,0.060867585,0.0853888459,0.1067210963,26.32,25089736.9556705,0.6479264706,6796940.62418058,6.1874230492,0.8642927423,1.24452189,0.942,10.3,33.6670619262,229352791.359418,19712219.8267727,24.7791618831,114109097.042865
1.31777898531E-07,8.24382829245E-06,0.6808702513,0.6250690462,0.3982323201,0.3975877493,0.6361488406,16.38,20412770.4381295,0.4618970588,4380133.67996314,5.877508547,0.8804887853,1.192958566,0.606,6.98,23.8978214263,186926372.419242,15832246.9975637,20.1696386478,93058829.0163962
1.37848755457E-07,1.21581585261E-06,0.4333106485,0.4611315935,0.1996054723,0.2333795663,0.4577156884,20.7,21718148.4782026,0.5631470588,5334612.33528314,6.1983316128,0.8949182371,1.2419518056,0.7553333333,8.6,28.6614697812,200731506.728646,16927128.4755641,22.6518250445,100658949.474399
1.42586369456E-07,0.0004391139,0.0736640535,0.6344214209,0.051501549,0.0251041157,0.0546346944,26.96,22313852.6424924,0.6549852941,6475878.76397236,5.9247191697,0.8610600368,1.2192293627,0.9653333333,10.52,33.9106051799,212467692.202264,17810916.6275138,25.0247060057,100759954.369605
1.44731195649E-07,8.52635777197E-06,0.0585618474,0.6448642119,0.0398706984,0.0196507036,0.0449160768,26.98,22416302.3818839,0.6568823529,6076908.15182834,5.9636782384,0.8490947242,1.2331540563,0.964,10.54,34.3781292929,204749342.458001,17756099.4099357,25.2706251295,102184515.589577
1.50061783281E-07,0.0003862152,0.9719904303,0.8778501389,0.7906328111,0.7792264331,0.8802560629,6.08,11483807.2103546,0.1998382353,1231614.66596835,4.0624274614,0.616465669,0.8318321203,0.2386666667,2.76,10.637763179,77647175.3780693,8302886.87089696,10.8021725655,55627213.6330959
1.56369095357E-07,4.72783113424E-05,0.5405040749,0.4915424757,0.2167726994,0.2614868051,0.4839723907,20.46,20879778.0271436,0.5493235294,4873580.75559389,6.1425831668,0.8744688197,1.2493481188,0.7473333333,8.27,28.4402238975,188349602.205626,16173539.0196614,22.6420378561,98352506.3422177
0.000000158,3.79809083982E-05,0.2715971327,0.5320128392,0.099932895,0.1117626057,0.253198743,24.48,19703010.3937762,0.6178382353,5564050.26725184,5.8784777445,0.8714569755,1.2141560366,0.88,9.7,31.730431016,193500482.471241,15724815.2172742,23.9826033156,86376058.5800352
1.62556291972E-07,4.19662115893E-06,0.9766408963,0.9383581096,0.9172371243,0.9027955697,0.9716918313,2.26,5824836.64372948,0.0917647059,546039.187010891,1.9633088578,0.3497940073,0.4028763585,0.0973333333,1.2,4.6883600475,39000964.2982325,4130278.32004452,5.3891507325,27410842.0131477
1.68449759828E-07,0.0505325229,0.1954081126,0.5935412894,0.0173787946,0.0435895068,0.0016557446,27.6,17307156.308943,0.6682794118,5282735.86305644,6.2712850205,0.865039468,1.2552171186,0.986,10.72,35.1860835492,170224829.16152,13829207.4201379,25.4702857568,78663441.813719
1.71635680025E-07,3.88407406717E-06,0.4744433707,0.4665892479,0.1890787973,0.2338744575,0.4440663318,21.08,17518379.7584043,0.5565588235,4355460.52637251,6.1834204407,0.8772091553,1.255538712,0.7666666667,8.54,28.422236155,162793914.982784,13746487.5483508,22.5845521515,80048636.7645173
