Metric,L,Distance
Align,0.000001,0.1818159291
Align,0.00001,0.1892250999
Align,0.0001,0.211204904
Align,0.001,0.1744717503
Align,0.01,0.2258086612
Align,0.025,0.3638453681
Align,0.04,0.4036494918
Align,0.07,0.3627267979
Align,0.13,0.4699124513
Align,0.25,0.5392702562
Align,0.5,0.444487691
Align,0.75,0.3503549093
Align,0.9,0.2957992879
Align,1,0.2224570723
BHV,0.000001,0.5606558787
BHV,0.00001,0.5561639753
BHV,0.0001,0.6139149874
BHV,0.001,0.4084544808
BHV,0.01,0.2010967811
BHV,0.025,0.0994530784
BHV,0.04,0.0515439722
BHV,0.07,0.0208164457
BHV,0.13,0.0082517959
BHV,0.25,0.0030441239
BHV,0.5,0.0006166266
BHV,0.75,0.0002335628
BHV,0.9,0.0001702166
BHV,1,0.0001679122
KC,0.000001,0.0857571967
KC,0.00001,0.0969918821
KC,0.0001,0.1186285974
KC,0.001,0.1092446865
KC,0.01,0.3332458053
KC,0.025,0.3906594195
KC,0.04,0.3836121495
KC,0.07,0.3428855891
KC,0.13,0.3881931826
KC,0.25,0.5666233727
KC,0.5,0.6562435165
KC,0.75,0.6063911422
KC,0.9,0.8165621946
KC,1,0.7825436698
KCw,0.000001,0.6747013932
KCw,0.00001,0.7017371024
KCw,0.0001,0.7705807829
KCw,0.001,0.7359870727
KCw,0.01,0.5207173487
KCw,0.025,0.568663052
KCw,0.04,0.4838227778
KCw,0.07,0.4726127599
KCw,0.13,0.7532435818
KCw,0.25,0.4523815211
KCw,0.5,0.5315510858
KCw,0.75,0.5303757355
KCw,0.9,0.4925885085
KCw,1,0.4395613578
KF,0.000001,0.6394739593
KF,0.00001,0.6433976064
KF,0.0001,0.7050622615
KF,0.001,0.5565920043
KF,0.01,0.2708140837
KF,0.025,0.3077855305
KF,0.04,0.2922612158
KF,0.07,0.2680146088
KF,0.13,0.3407188938
KF,0.25,0.3474025511
KF,0.5,0.3123625988
KF,0.75,0.2767383779
KF,0.9,0.2945683392
KF,1,0.2928299455
