Metric,M,Distance
Align,0,
Align,0.00001,5.8485463634
Align,0.0001,2.7457359379
Align,0.00055,0.8365468727
Align,0.001,0.6029388504
Align,0.002125,0.3014565508
Align,0.00325,0.2873742141
Align,0.004375,0.2229332703
Align,0.0055,0.1885279791
Align,0.01,0.1745687108
Align,0.25,0.1647081806
Align,0.5,0.1916261973
Align,0.75,0.1783434449
Align,1,0.1544136171
BHV,0,4.15960782076488E-08
BHV,0.00001,0.1789259778
BHV,0.0001,0.3153189433
BHV,0.00055,0.3299097233
BHV,0.001,0.2853153929
BHV,0.002125,0.1746813889
BHV,0.00325,0.139325908
BHV,0.004375,0.1265237138
BHV,0.0055,0.1145689619
BHV,0.01,0.0986138101
BHV,0.25,0.0264854714
BHV,0.5,0.0244462028
BHV,0.75,0.0222982317
BHV,1,0.0220264604
KC,0,
KC,0.00001,7.0689867321
KC,0.0001,2.5596652412
KC,0.00055,0.7704647421
KC,0.001,0.5118390768
KC,0.002125,0.3041869951
KC,0.00325,0.2400715026
KC,0.004375,0.201108979
KC,0.0055,0.1657830932
KC,0.01,0.1240062208
KC,0.25,0.0900436901
KC,0.5,0.0873977442
KC,0.75,0.0882201029
KC,1,0.0911312454
KCw,0,0
KCw,0.00001,6.4742840776
KCw,0.0001,2.4963151252
KCw,0.00055,0.6973283457
KCw,0.001,0.521111094
KCw,0.002125,0.2858599715
KCw,0.00325,0.2171869012
KCw,0.004375,0.2057138611
KCw,0.0055,0.1507521202
KCw,0.01,0.1169378129
KCw,0.25,0.0475489363
KCw,0.5,0.0550847872
KCw,0.75,0.0411405147
KCw,1,0.0364200156
KF,0,0
KF,0.00001,6.1698055748
KF,0.0001,2.4482154568
KF,0.00055,0.6539708485
KF,0.001,0.4737274574
KF,0.002125,0.2337799123
KF,0.00325,0.1657332364
KF,0.004375,0.1639074656
KF,0.0055,0.1311806566
KF,0.01,0.1211186872
KF,0.25,0.0140951549
KF,0.5,0.0196093663
KF,0.75,0.0100882915
KF,1,0.0107844526
kL,0,0
kL,0.00001,9.9999944321
kL,0.0001,2.6218019865
kL,0.00055,1.2392917221
kL,0.001,0.9486113322
kL,0.002125,0.5776423899
kL,0.00325,0.4410756066
kL,0.004375,0.3405153795
kL,0.0055,0.292146901
kL,0.01,0.1867395286
kL,0.25,1.39320412895E-90
kL,0.5,9.02456501189991E-151
kL,0.75,0
kL,1,5.23637947E-134
kLn,0,
kLn,0.00001,9.9326816475
kLn,0.0001,1.8769629884
kLn,0.00055,1.2165352998
kLn,0.001,0.9376884822
kLn,0.002125,0.5722779105
kLn,0.00325,0.426565196
kLn,0.004375,0.3294367017
kLn,0.0055,0.2746915039
kLn,0.01,0.18301843
kLn,0.25,0.0543727648
kLn,0.5,0.0690806442
kLn,0.75,0.0533325394
kLn,1,0.0645237136
kU,0,0
kU,0.00001,7.1848996774
kU,0.0001,1.6655390473
kU,0.00055,0.715643921
kU,0.001,0.547953303
kU,0.002125,0.2992031
kU,0.00325,0.2384121175
kU,0.004375,0.1824138466
kU,0.0055,0.1741576825
kU,0.01,0.0896206602
kU,0.25,0.0075760066
kU,0.5,0.004748136
kU,0.75,0.0038066985
kU,1,0.0050937724
kUn,0,
kUn,0.00001,7.6708272955
kUn,0.0001,1.8769629958
kUn,0.00055,0.7301913555
kUn,0.001,0.5817855681
kUn,0.002125,0.3360193394
kUn,0.00325,0.2727998491
kUn,0.004375,0.276919844
kUn,0.0055,0.2484520069
kUn,0.01,0.1879983594
kUn,0.25,0.190584059
kUn,0.5,0.1734395754
kUn,0.75,0.2015708956
kUn,1,0.2069066757
MAST,0,
MAST,0.00001,5.7148869333
MAST,0.0001,2.7487370837
MAST,0.00055,0.9331950703
MAST,0.001,0.7396981103
MAST,0.002125,0.4408490424
MAST,0.00325,0.3723665757
MAST,0.004375,0.3221649907
MAST,0.0055,0.2656522101
MAST,0.01,0.1752827613
MAST,0.25,0.070258871
MAST,0.5,0.0843995706
MAST,0.75,0.0783484673
MAST,1,0.0848016027
Node,0,
Node,0.00001,6.1261060786
Node,0.0001,2.5591664276
Node,0.00055,0.7111566104
Node,0.001,0.513575621
Node,0.002125,0.2261006538
Node,0.00325,0.2260312806
Node,0.004375,0.1611856936
Node,0.0055,0.1548603871
Node,0.01,0.1304335224
Node,0.25,0.1206191313
Node,0.5,0.1390656728
Node,0.75,0.1373180478
Node,1,0.1244286916
nPH85,0,
nPH85,0.00001,7.316785782
nPH85,0.0001,2.7539440863
nPH85,0.00055,0.988809411
nPH85,0.001,0.685045578
nPH85,0.002125,0.4403465775
nPH85,0.00325,0.3491586163
nPH85,0.004375,0.2296812481
nPH85,0.0055,0.2118709507
nPH85,0.01,0.0986136977
nPH85,0.25,0.0278694655
nPH85,0.5,0.0297722301
nPH85,0.75,0.0344454101
nPH85,1,0.0328907332
pathdist,0,
pathdist,0.00001,6.3271243792
pathdist,0.0001,2.4285182859
pathdist,0.00055,0.7621805205
pathdist,0.001,0.5565660285
pathdist,0.002125,0.3407690562
pathdist,0.00325,0.2595007077
pathdist,0.004375,0.2201976032
pathdist,0.0055,0.180737955
pathdist,0.01,0.1271054312
pathdist,0.25,0.0801383116
pathdist,0.5,0.0733583464
pathdist,0.75,0.0783375475
pathdist,1,0.0864667323
pathdistw,0,0
pathdistw,0.00001,6.6327594054
pathdistw,0.0001,2.5670070902
pathdistw,0.00055,0.7227498269
pathdistw,0.001,0.5352061151
pathdistw,0.002125,0.2929660614
pathdistw,0.00325,0.2276748756
pathdistw,0.004375,0.2113549845
pathdistw,0.0055,0.134115443
pathdistw,0.01,0.1038610625
