Metric,M,Distance
Align,0,0
Align,0.00001,0.0042027357
Align,0.0001,0.0611393548
Align,0.00055,0.4793172471
Align,0.001,0.6471663871
Align,0.002125,0.8745556543
Align,0.00325,0.8928307923
Align,0.004375,0.9512261061
Align,0.0055,1
Align,0.01,0.9875512559
Align,0.25,0.9668269183
Align,0.5,0.9578130373
Align,0.75,0.946440803
Align,1,0.9681140629
KF,0,0
KF,0.00001,0.0190574641
KF,0.0001,0.1035983707
KF,0.00055,0.5107003673
KF,0.001,0.6650535645
KF,0.002125,0.8551388288
KF,0.00325,0.9398361533
KF,0.004375,0.9604330233
KF,0.0055,1
KF,0.01,0.9899355476
KF,0.25,0.9721088635
KF,0.5,0.9725561675
KF,0.75,0.9747383136
KF,1,0.9749566414
kL,0,1
kL,0.00001,0.9989224063
kL,0.0001,0.9714710366
kL,0.00055,0.8488248956
kL,0.001,0.7822390702
kL,0.002125,0.5926644333
kL,0.00325,0.4390959396
kL,0.004375,0.3671296139
kL,0.0055,0.3198982634
kL,0.01,0.1660674587
kL,0.25,1.39320412978592E-91
kL,0.5,9.02456501732028E-152
kL,0.75,0
kL,1,5.23637947314183E-135
kLn,0,1
kLn,0.00001,0.9988964417
kLn,0.0001,0.9871160355
kLn,0.00055,0.8439456718
kLn,0.001,0.7755391625
kLn,0.002125,0.584390942
kLn,0.00325,0.4298116274
kLn,0.004375,0.3494462491
kLn,0.0055,0.3158755863
kLn,0.01,0.1705391427
kLn,0.25,0
kLn,0.5,0.0159709239
kLn,0.75,0.0040843739
kLn,1,0.0170214343
kU,0,1
kU,0.00001,0.9961694982
kU,0.0001,0.9436931647
kU,0.00055,0.7777952846
kU,0.001,0.6817914414
kU,0.002125,0.4746432576
kU,0.00325,0.3481452506
kU,0.004375,0.2796439257
kU,0.0055,0.2341184379
kU,0.01,0.1188863955
kU,0.25,0.0015417587
kU,0.5,0
kU,0.75,0.0001056953
kU,1,0.000555761
kUn,0,1
kUn,0.00001,0.9960572928
kUn,0.0001,0.9512711115
kUn,0.00055,0.77910643
kUn,0.001,0.6770748729
kUn,0.002125,0.4875570471
kUn,0.00325,0.4046395208
kUn,0.004375,0.3256081265
kUn,0.0055,0.3000389884
kUn,0.01,0.1644534952
kUn,0.25,7.04156334645953E-05
kUn,0.5,0.03126864
kUn,0.75,0.0165025586
kUn,1,0
MAST,0,0
MAST,0.00001,0.0027985075
MAST,0.0001,0.0233208955
MAST,0.00055,0.1464552239
MAST,0.001,0.2546641791
MAST,0.002125,0.411380597
MAST,0.00325,0.5242537313
MAST,0.004375,0.5979477612
MAST,0.0055,0.6324626866
MAST,0.01,0.8274253731
MAST,0.25,1
MAST,0.5,0.9850746269
MAST,0.75,0.9794776119
MAST,1,0.9934701493
Node,0,0
Node,0.00001,0.0089414827
Node,0.0001,0.0859004345
Node,0.00055,0.5507713083
Node,0.001,0.7218565431
Node,0.002125,0.9255649385
Node,0.00325,0.9384880059
Node,0.004375,0.9710499809
Node,0.0055,0.9926228989
Node,0.01,1
Node,0.25,0.9744281351
Node,0.5,0.9653329741
Node,0.75,0.9581976128
Node,1,0.9616402774
nPH85,0,0
