Metric,P,Distance
Align,0.000001,0.9495112256
Align,0.00001,1
Align,0.0001,0.9878131737
Align,0.001,0.9901630779
Align,0.01,0.9905916536
Align,0.1,0.9809981196
Align,0.25,0.9907056568
Align,0.5,0.9619943076
Align,0.75,0.9774554617
Align,0.9,0.7763270808
Align,0.99,0.1404859361
Align,1,0
KF,0.000001,0.972751622
KF,0.00001,1
KF,0.0001,0.8996112182
KF,0.001,0.8753949499
KF,0.01,0.9679810153
KF,0.1,0.9023152296
KF,0.25,0.8507245459
KF,0.5,0.8659554585
KF,0.75,0.780960182
KF,0.9,0.5857353549
KF,0.99,0.0853310976
KF,1,0
kL,0.000001,0
kL,0.00001,0
kL,0.0001,0
kL,0.001,0
kL,0.01,0.0096435036
kL,0.1,0.0996597938
kL,0.25,0.22002276
kL,0.5,0.4921821033
kL,0.75,0.7133668895
kL,0.9,0.8881272351
kL,0.99,0.9851335966
kL,1,1
kLn,0.000001,0.006538767
kLn,0.00001,0.0106450639
kLn,0.0001,0
kLn,0.001,0.0044892036
kLn,0.01,0.0121247764
kLn,0.1,0.0573103045
kLn,0.25,0.1156791507
kLn,0.5,0.2674230224
kLn,0.75,0.3895737641
kLn,0.9,0.5574131484
kLn,0.99,0.9251009504
kLn,1,1
kU,0.000001,0
kU,0.00001,8.78066583458251E-129
kU,0.0001,0
kU,0.001,0
kU,0.01,0.0028796334
kU,0.1,0.0352702416
kU,0.25,0.0962387007
kU,0.5,0.2613304181
kU,0.75,0.4766839595
kU,0.9,0.7034503528
kU,0.99,0.9664006201
kU,1,1
kUn,0.000001,0.3211290512
kUn,0.00001,0.3193247702
kUn,0.0001,0.3272107717
kUn,0.001,0.3242477953
kUn,0.01,0.3003554223
kUn,0.1,0.2822198393
kUn,0.25,0.2143027805
kUn,0.5,0.1117798464
kUn,0.75,0
kUn,0.9,0.164365877
kUn,0.99,0.8404113564
kUn,1,1
MAST,0.000001,0.9990636704
MAST,0.00001,0.9897003745
